subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
Adolf Holtzmann the Younger	influenced_by	Adolf Holtzmann the Elder				True	Windisch GSP	An seine Ideen knüpft sein Neffe Adolf Holtzmann der Jüngere an... der mit seines Onkels Exemplar der Calcuttaer Ausgabe auch das Studium des Mahābhārata geerbt hat.
Albrecht Weber	influenced_by	Adalbert Kuhn				True	Windisch GSP	Weber, der dauernd von Kuhn beeinflußt worden ist
Albrecht Weber	influenced_by	Adolf Holtzmann the Elder				True	Windisch GSP	Auch Holtzmanns 1841 erschienene Schrift "Über den griechischen Ursprung des Indischen Thierkreises" hatte großen Eindruck auf ihn gemacht
Albrecht Weber	influenced_by	Christian Karl Josias von Bunsen	patron			True	Windisch GSP	Auch Weber hat sich wie M. Müller der Unterstützung Bunsens erfreut, dem er sein Werk widmete: "To his Excellency the Chevalier Dr. C. C. J. Bunsen, the noble friend and patron of linguistic studies"
Albrecht Weber	influenced_by	Jean-Baptiste Biot				True	Windisch GSP	Den Anstoß zu Webers Untersuchung über die Nakṣatra hatten die Artikel des französischen Astronomen J. B. Biot gegeben
Albrecht Weber	influenced_by	Rudolf von Roth				True	Windisch GSP	Nr. 4 ist Rudolf Roth, gestorben 1895, zugeeignet, "der die Wege gewiesen"
Alfred Hillebrandt	influenced_by	Hermann Brunnhofer				True	Windisch GSP	Hillebrandt steht prinzipiell auf dem Standpunkt Brunnhofers, wenn er in seinem Aufsatz "Die Heimat des Ṛgveda", Österr. Monatsschrift für den Orient 1917, S. 285 sagt
Alfred Ludwig	influenced_by	Martin Haug				True	Windisch GSP	im Anschluß an Haug die Bedeutung des Rituals für das Verständnis des Ṛgveda hervorgehoben (S. XIII). Auch darin folgt er Haug
Angelo De Gubernatis	influenced_by	Theodor Benfey				True	Windisch GSP	In der Übersetzung schloß sich de Gubernatis hier an Benfey an, gestattete sich aber hier und da sehr kühne Konjekturen.
Arthur Berriedale Keith	influenced_by	Louis de La Vallée Poussin				True	Winternitz GIL 3	L. de La Vallée Poussin (Le Védisme, Paris 1909), dem sich A. B. Keith, JRAS 1909, 469 ff., anschließt
Arthur Schopenhauer	influenced_by	Abraham Hyacinthe Anquetil-Duperron				True	Windisch GSP	Diese Stimmung der Übersetzung hat noch nach Jahrzehnten ihre Wirkung auf empfängliche Gemüter ausgeübt, so auf Schopenhauer, der die indische Philosophie aus diesem Werke kennen lernte
Arthur Schopenhauer	influenced_by	Friedrich Majer				True	Windisch GSP	Schopenhauer schreibt in einem Briefe aus Weimar, daß der Orientalist Friedrich Majer ihn in das indische Altertum eingeführt habe, "welches von wesentlichem Einfluß auf mich gewesen ist"
August Blau	influenced_by	Carl Cappeller				True	Windisch GSP	Zum sachlichen Inhalt der Sprüche gab A. Blau auf Anregung von Cappeller einen Index in den Abhandlungen der DMG. IX, Leipzig 1893.
August Schleicher	influenced_by	Heinrich Ewald				True	Windisch GSP	daß er in Göttingen Bollensen, in Tübingen Schleicher und Roth, alle drei gleichfalls von Haus aus Theologen, für das Sanskrit gewonnen hat.
August Wilhelm von Schlegel	influenced_by	Arnold Hermann Ludwig Heeren				True	Windisch GSP	A. W. Schlegel knüpft an ihn und Heeren an
August Wilhelm von Schlegel	influenced_by	Friedrich Schlegel				True	Windisch GSP	A. W. Schlegel bekennt, daß dies das eine der zwei Bücher sei, durch die er sich hauptsächlich zur Erlernung des Sanskrit habe bestimmen lassen. Das andere ist das eben besprochene Buch seines Bruders.
August Wilhelm von Schlegel	influenced_by	William Robertson				True	Windisch GSP	A. W. Schlegel bekennt, daß dies das eine der zwei Bücher sei, durch die er sich hauptsächlich zur Erlernung des Sanskrit habe bestimmen lassen.
Berthold Delbrück	influenced_by	Otto von Böhtlingk				True	Windisch GSP	so waren doch Böhtlingk und Roth seine Leitsterne.
Berthold Delbrück	influenced_by	Rudolf von Roth		1874		True	Windisch GSP	ausgesprochen, daß er auf dem vedischen Gebiete nächst Roth das meiste Benfey verdanke
Berthold Delbrück	influenced_by	Theodor Benfey		1874		True	Windisch GSP	Delbrück hat 1874 in seinem Buche "Das Altindische Verbum" den Wert von Benfeys grammatischen Arbeiten anerkannt und ausgesprochen, daß er auf dem vedischen Gebiete nächst Roth das meiste Benfey verdanke
Carl Cappeller	influenced_by	Richard Pischel		1883		True	Windisch GSP	Über die Zeit und die Werke Rājaçekharas hatte damals Pischel einen Aufsatz geschrieben... durch den Cappeller zu dieser Ausgabe angeregt wurde
Charles Wilkins	influenced_by	Warren Hastings				True	Winternitz GIL 1	Der erste Engländer, der sich eine Kenntnis des Sanskrit aneignete, war Charles Wilkins, der durch Warren Hastings dazu angeregt worden war, bei den Paṇḍits in Benares... Unterricht zu nehmen.
Christian Lassen	influenced_by	Adalbert Kuhn				True	Windisch GSP	Abschnitt über die Entstehung der Kasten, der zugleich auch den Einfluß der besonders durch Adalbert Kuhn vertretenen archäologischen Richtung der vergleichenden Sprachwissenschaft erkennen läßt
Christian Lassen	influenced_by	August Wilhelm von Schlegel				True	Windisch GSP	Als Sanskritphilologe stand er unter dem Einflusse Schlegels.
Christian Lassen	influenced_by	Brian Houghton Hodgson				True	Windisch GSP	Zwar für den Buddhismus sah sich Lassen auf die Arbeiten von Hodgson, Burnouf und I. J. Schmidt angewiesen, S. 385 ff.
Christian Lassen	influenced_by	Eugène Burnouf				True	Windisch GSP	Zwar für den Buddhismus sah sich Lassen auf die Arbeiten von Hodgson, Burnouf und I. J. Schmidt angewiesen, S. 385 ff.
Christian Lassen	influenced_by	Isaak Jakob Schmidt				True	Windisch GSP	Zwar für den Buddhismus sah sich Lassen auf die Arbeiten von Hodgson, Burnouf und I. J. Schmidt angewiesen, S. 385 ff.
Christian Lassen	influenced_by	James Fergusson				True	Windisch GSP	Eine Hauptgrundlage für alle drei Stellen war ihm die zusammenfassende Abhandlung "On the Rock-cut Temples of India" von James Fergusson im Londoner Journal der RAS. Band VIII (1846) S. 30 ff.
Emil Sieg	influenced_by	Karl Friedrich Geldner			1902	True	Windisch GSP	die von Geldner angeregte Schrift "Die Sagenstoffe des Rgveda und die indische Itihāsatradition von Emil Sieg", mit I bezeichnet, Stuttgart 1902.
Ernst Kuhn	influenced_by	August Leskien				True	Windisch GSP	Über das Prinzip der Analogie s. die Vorrede zu E. Kuhns Pāli-Grammatik 1875. Das ist z. T. durch Leskiens Einfluß zu erklären
Ernst Windisch	influenced_by	Albrecht Weber		1881		True	Windisch GSP	Auf Webers Bahnen wandelte Windisch, als er 1881 auf dem V. Internationalen Orientalisten-Kongreß zu Berlin einen Vortrag "Über den griechischen Einfluß im indischen Drama" hielt
Eugène Burnouf	influenced_by	Alexander Csoma de Kőrös				True	Windisch GSP	In seinen Angaben über die verschiedenen buddhistischen Schulen und ihre Lehren hat Burnouf weniger unmittelbar aus den Quellen geschöpft, als aus den Arbeiten von Hodgson, Csoma, Schmidt
Eugène Burnouf	influenced_by	Brian Houghton Hodgson				True	Windisch GSP	so wäre Burnoufs Leistung nicht ohne Hodgson möglich gewesen.
Eugène Burnouf	influenced_by	Christian Lassen				True	Windisch GSP	Aus den Briefen ersehen wir, wie sehr ihn die Bekanntschaft mit Bopp und mit Lassen angespornt hat.
Eugène Burnouf	influenced_by	Franz Bopp				True	Windisch GSP	Aus den Briefen ersehen wir, wie sehr ihn die Bekanntschaft mit Bopp und mit Lassen angespornt hat.
Eugène Burnouf	influenced_by	Henry Thomas Colebrooke				True	Windisch GSP	Indem er sich auch auf Colebrookes Darstellung der Lehre der Bauddha aus brahmanischen Quellen stützte
Eugène Burnouf	influenced_by	Isaak Jakob Schmidt				True	Windisch GSP	In seinen Angaben über die verschiedenen buddhistischen Schulen und ihre Lehren hat Burnouf weniger unmittelbar aus den Quellen geschöpft, als aus den Arbeiten von Hodgson, Csoma, Schmidt
Eugène Burnouf	influenced_by	Jean-Louis Burnouf				True	Windisch GSP	Denn er hat nicht nur seinen Sohn zum Studium des Sanskrit angeregt
Ferdinand de Saussure	influenced_by	Karl Brugmann				True	Windisch GSP	Wenn auch beeinflußt von Brugmann, gab doch in selbständiger Weise eine Systematik des Vokalismus in der neuen Richtung F. de Saussure
Franz Bopp	influenced_by	Friedrich Schlegel				True	Windisch GSP	Er war von Friedrich Schlegels Buch angeregt worden
Friedrich Bollensen	influenced_by	Heinrich Ewald				True	Windisch GSP	daß er in Göttingen Bollensen, in Tübingen Schleicher und Roth, alle drei gleichfalls von Haus aus Theologen, für das Sanskrit gewonnen hat.
Friedrich Heinrich Hugo Windischmann	influenced_by	August Wilhelm von Schlegel				True	Windisch GSP	Am Schluß der Praefatio apostrophiert er Schlegel, durch den er zum Studium des Sanskrit angeregt worden sei
Friedrich Majer	influenced_by	Johann Gottfried Herder				True	Windisch GSP	Aber ein Verehrer von ihm, der Jenaer Privatdozent Friedrich Majer (1772-1818), der seinerseits die bis dahin erschienenen englischen Übersetzungen kannte, vermittelte ihm diese.
Friedrich Max Müller	influenced_by	Christian Karl Josias von Bunsen	patron			True	Windisch GSP	Aber mehr als dadurch wurde er in England von Anfang an durch Bunsen beeinflußt und seinen eigenen Anlagen entsprechend zur Religionsgeschichte in der Weltgeschichte geführt.
Friedrich Max Müller	influenced_by	Eugène Burnouf				True	Windisch GSP	Namentlich der letztere hat wiederholt bekannt, daß er zu der Ausgabe des Rgveda mit Sāyaṇas Kommentar durch Burnouf veranlaßt worden sei.
Friedrich Max Müller	influenced_by	James Fergusson				True	Windisch GSP	adoptierte M. Müller die von Fergussons "architektonischem Genie" in seiner Abhandlung "On the Śaka, Samvat, and Gupta Eras" aufgestellte Theorie
Friedrich Max Müller	influenced_by	Ludwig Noiré				True	Windisch GSP	In dieser Frage war er von Ludwig Noiré beeinflußt, dem er auch sein letztes größeres Werk gewidmet hat
Friedrich Rosen	influenced_by	Henry Thomas Colebrooke				True	Windisch GSP	Er nennt Colebrooke seinen Führer.
Fritz Johaentgen	influenced_by	Albrecht Weber				True	Windisch GSP	und suchte nach Webers Methode das Verhältnis des Mānava zu der indischen Philosophie darzustellen
Félix Nève	influenced_by	Friedrich Heinrich Hugo Windischmann				True	Windisch GSP	Aber auch der katholische Theolog Fr. Windischmann... zu dem er während eines einjährigen Aufenthaltes in München in nähere Beziehungen trat, hatte Einfluß auf ihn
Georg Bühler	influenced_by	Friedrich Max Müller				False	Winternitz GIL 3	Was aber Max Müller nur vermuten konnte, das hat G. Bühler durch zahlreiche Beweisgründe zu einer wissenschaftlichen Tatsache erhoben
Gottlieb Siegfried Bayer	influenced_by	Mathurin Veyssière de La Croze				True	Windisch GSP	Die Hauptanregung bei seinen wissenschaftlichen Arbeiten, die Babinger vollständig verzeichnet, verdankt er La Croze, mit dem er in fortgesetztem Briefwechsel stand.
Heinrich Wenzel	influenced_by	Friedrich Max Müller				True	Windisch GSP	Seine besondere Studienrichtung erhielt er durch Max Müller in Oxford
Hermann Jacobi	influenced_by	Georg Bühler				True	Windisch GSP	Im Hintergrund steht Bühler, dem Jacobi sein Buch gewidmet hat, und dem er die erste Auskunft über einige wichtige Punkte verdankte.
Horace Hayman Wilson	influenced_by	Henry Thomas Colebrooke				True	Windisch GSP	Auf den Rat Colebrookes entschloß sich Wilson, sie nachzuprüfen und zu ergänzen.
Horace Hayman Wilson	influenced_by	James Prinsep				True	Windisch GSP	in den archäologischen schloß er sich an Prinsep an
Jakob H. Thiessen	influenced_by	Richard Pischel			1880	True	Windisch GSP	über die dann Jakob H. Thiessen, von Pischel angeregt, seine Dissertation "Die Legende von Kisāgotamī" schrieb, Breslau 1880.
James Prinsep	influenced_by	Brian Houghton Hodgson		1834		True	Windisch GSP	Er erhielt diese von B. H. Hodgson, Resident in Nepal, der also auch hier eine erste Anregung gegeben hat.
James Prinsep	influenced_by	Charles Masson				True	Windisch GSP	Wie Prinseps Leistung nicht ohne Masson
James Prinsep	influenced_by	Eugène Burnouf			1837	True	Windisch GSP	Prinsep bekennt in einem Briefe an Burnouf vom 17. Juni 1837, daß der Essai über das Pāli bei seiner Übersetzung der Asoka-Inschriften sein Hauptführer im Studium der Endungen und der Flexionen gewesen sei
Johannes Gildemeister	influenced_by	Friedrich von Adelung				True	Windisch GSP	Aber ohne Adelung wahrscheinlich kein Gildemeister!
Johannes Schmidt	influenced_by	Karl Brugmann				True	Windisch GSP	Schmidt war, wie aus seinen eigenen Worten hervorgeht, von Brugmanns Arbeiten angeregt worden.
John Muir	influenced_by	Christian Lassen				True	Windisch GSP	Manches ist seit Lassen, dem Muir in Band II seiner "Original Sanskrit Texts" folgte, noch nicht wieder so eingehend be- handelt worden.
Julius Grill	influenced_by	Rudolf von Roth				True	Windisch GSP	Wie Cappeller zu Böhtlingk, so stand der württembergische Theologe Grill zu Roth in einem Pietätsverhältnis.
Leopold von Schroeder	influenced_by	Hermann Reich				True	Windisch GSP	Während Reich das Buch von L. v. Schroeder "Mimus und Mysterium im Rigveda" zu den Erfolgen seiner Forschung rechnen darf
Leopold von Schroeder	influenced_by	Johannes Hertel			1908	True	Windisch GSP	Wenn er gleich die ersten, Ṛgv. I 171, 172 und 165, nach Vorgang von Hertel, als ebensoviele (sehr kurze) Akte eines Dramas zu einem Ganzen vereinigt
Luigi Suali	influenced_by	Hermann Jacobi				True	Winternitz GIL 3	Jacobi (JAOS 31, 1911, 1 ff.), dem Suali (Introduzione p. 13) folgt, hat versucht, eine Chronologie der philosophischen Sūtras festzustellen
Maurice Bloomfield	influenced_by	William Dwight Whitney				True	Windisch GSP	Ebenso zeigt sich Whitneys Einfluß, wenn die Amerikaner sich besonders dem Atharvaveda zugewendet haben. Bloomfield widmete seine 1890 in Band XIV des JAOS. erschienene Ausgabe des Kauśikasūtra 'To William Dwight Whitney'
Michael Viggo Fausbøll	influenced_by	Albrecht Weber		1871	1871	True	Windisch GSP	Veranlaßt durch Webers Abhandlung veröffentlichte Fausböll schon im Jahre nach ihr auch den Text: "The Dasaratha-Jātaka, being the Buddhist story of King Rāma", Kopenhagen und London 1871
Moriz Winternitz	influenced_by	Albrecht Weber				True	Winternitz GIL 1	Was ich den grundlegenden »Akademischen Vorlesungen über indische Literaturgeschichte« von Albrecht Weber (2. Aufl., Berlin 1876)... verdanke
Moriz Winternitz	influenced_by	Auguste Barth				True	Winternitz GIL 1	Manches verdanke ich auch, ohne daſs es immer besonders erwähnt wäre, den wertvollen »Bulletins des Religions de l'Inde« von A. Barth
Moriz Winternitz	influenced_by	Leopold von Schroeder				True	Winternitz GIL 1	Was ich den... so überaus anregenden und wertvollen Vorlesungen über »Indiens Literatur und Kultur in historischer Entwicklung« von Leopold v. Schroeder (Leipzig 1887) verdanke
Nisikānta Chattopādhyāya	influenced_by	Christian Lassen				True	Windisch GSP	Für die letztere stützt sich N. Ch. auf Lassen.
Othmar Frank	influenced_by	Henry Thomas Colebrooke				True	Windisch GSP	Sein Führer war Colebrooke, in dessen Handschriftensammlung er sich auch während seines Aufenthalts in London umgesehen hatte
Paul Regnaud	influenced_by	John Muir				True	Windisch GSP	indem er die Hauptlehren mit den Hauptstellen belegte, hierin der Methode von John Muir in den "Original Sanskrit Texts" folgend.
Paulinus a Sancto Bartholomaeo	influenced_by	Johann Ernst Hanxleden				True	Windisch GSP	indem Fr. Paulinus a Sancto Bartholomaeo ... sie benutzte, die Grammatik für sein Sidharubam ... das Wörterbuch für sein Systema Brahmanicum
Peter von Bohlen	influenced_by	Arnold Hermann Ludwig Heeren				True	Windisch GSP	v. Bohlen sagt ausdrücklich, daß er Heerens Darstellung durch seine Kenntnis des Sanskrit ergänzen wolle.
Rudolf von Roth	influenced_by	Heinrich Ewald				True	Windisch GSP	daß er in Göttingen Bollensen, in Tübingen Schleicher und Roth, alle drei gleichfalls von Haus aus Theologen, für das Sanskrit gewonnen hat.
Theodor Aufrecht	influenced_by	Friedrich Rosen				True	Windisch GSP	erkennt er dankbar die von Rosen und Roth ausgegangene Anregung an.
Theodor Aufrecht	influenced_by	Rudolf von Roth				True	Windisch GSP	erkennt er dankbar die von Rosen und Roth ausgegangene Anregung an.
Theodor Goldstücker	influenced_by	Peter von Bohlen				True	Windisch GSP	daß er Th. Goldstücker in Königsberg zum Sanskrit angeregt hat
Waskaduwe Subhuti	influenced_by	Robert Caesar Childers				True	Windisch GSP	seine auf Childers' Veranlassung herausgegebene Pāli-Grammatik Nāmamālā
Wilhelm von Humboldt	influenced_by	August Wilhelm von Schlegel				True	Winternitz GIL 1	Schlegels Ausgabe der Bhagavadgītā hatte Humboldts Aufmerksamkeit auf dieses theosophische Gedicht gelenkt.
Wilhelm von Humboldt	influenced_by	Henry Thomas Colebrooke				True	Windisch GSP	W. v. Humboldt, der die indische Philosophie aus Colebrookes Essays kennen gelernt hatte
Wilhelm von Humboldt	influenced_by	John Crawfurd				True	Windisch GSP	Raffles und Crawfurd waren schon W. v. Humboldts Autoritäten für sein Werk über die Kawi-Sprache.
Wilhelm von Humboldt	influenced_by	Thomas Stamford Raffles				True	Windisch GSP	Raffles und Crawfurd waren schon W. v. Humboldts Autoritäten für sein Werk über die Kawi-Sprache.
Willem Caland	influenced_by	Theodor Zachariae				True	Windisch GSP	W. Caland wurde durch Th. Zachariae auf zwei alte portugiesische Berichte dieser Art aufmerksam gemacht
William Jones	influenced_by	Francis Wilford				True	Windisch GSP	W. Jones, obwohl anfangs mißtrauisch, war dann in "Remarks on the Preceding Essay" auf Wilfords Ideen eingegangen
William Robertson	influenced_by	James Rennell				True	Windisch GSP	Robertson seinerseits war zu seinem Buche durch das Memoir des Major Rennell veranlaßt worden
Émile-Louis Burnouf	influenced_by	Eugène Burnouf				True	Windisch GSP	Émile Burnouf war durch das Vorbild seines Onkels Eugène B. zum Studium des Sanskrit angeregt worden.
Abraham Hyacinthe Anquetil-Duperron	other	Guillaume Le Gentil de La Galaisière	Freund			True	Windisch GSP	durch die Güte seines Freundes Le Gentil, "tunc apud Nabab Soudjaëddaulah, in urbe Faisabad, ministerii Gallici nomine residentis"
Adalbert Kuhn	other	Félix Nève	friend			True	Windisch GSP	Er fand die Zustimmung von Adalbert Kuhn, der ihn seinen Freund nennt
Adalbert Kuhn	other	Wilhelm Schwartz	Schwager			True	Windisch GSP	Auf diesem Gebiete arbeitete er zusammen mit seinem Schwager Schwartz.
Adolf Friedrich Stenzler	other	Friedrich Rosen	friend			True	Windisch GSP	Er dankt seinem Freunde Rosen und Bopp für Mitlesen der Korrekturbogen.
Adolf Friedrich Stenzler	other	Hermann Brockhaus	friend			True	Windisch GSP	Stenzler war nahe befreundet mit Rosen und mit Brockhaus, dem er die Gṛhyasūtrāṇi widmete.
Adolf Friedrich Stenzler	other	Niels Ludvig Westergaard	friend			True	Windisch GSP	Auf alter Freundschaft auch mit Westergaard beruhte, daß er zwei wichtige Abhandlungen dieses dänischen Gelehrten ins Deutsche übersetzen ließ.
Adolf Holtzmann the Younger	other	Adolf Holtzmann the Elder	nephew			True	Windisch GSP	An seine Ideen knüpft sein Neffe Adolf Holtzmann der Jüngere an
Albrecht Weber	other	Bal Gangadhar Tilak	opponent in controversy; opposed in scholarly dispute	1894		True	Windisch GSP	In Nr. 1 nimmt er gegen Tilak Stellung (S. 781), der die Namen Orion und Āgrāyaṇa identifizierte
Albrecht Weber	other	Franz Kielhorn	differing views on accent representation	1868		True	Windisch GSP	Nach Webers Ansicht handelt es sich um die graphische Bezeichnung der Akzente, nach Kielhorn dagegen um die Aussprache.
Albrecht Weber	other	Friedrich Max Müller	opposed in scholarly dispute	1865		True	Windisch GSP	wendet sich gegen eine falsche Berechnung des Umfangs der Tage von Seiten M. Müllers.
Albrecht Weber	other	Heinrich Kiepert	friend			True	Windisch GSP	Nr. 7 Heinrich Kiepert. Weber stand mitten drin in einem großen Kreise von wissenschaftlichen Freunden.
Albrecht Weber	other	Hermann Jacobi	opponent in controversy; opposed in scholarly dispute	1894		True	Windisch GSP	in Nr. 3 gegen Jacobi, der Ṛgv. X 85, 13 verwendete, um das Alter des Veda zu bestimmen
Albrecht Weber	other	Martin Haug	critic of Haug's edition and translation			True	Windisch GSP	Sein eingehendes Studium des Yajurveda befähigte Weber zu der Kritik, die er Haugs Ausgabe und Übersetzung des Aitareya-brâhmaṇa nebst Introduction zuteil werden ließ
Albrecht Weber	other	Otto von Böhtlingk	friend			True	Windisch GSP	Er widmete die 2. Auflage "Böhtlingk und Roth den Freunden bei der Vollendung des Sanskrit-Wörterbuchs".
Albrecht Weber	other	Reinhold Rost	friend			True	Windisch GSP	Nr. 5 Reinhold Rost, gestorben 1896 ... Weber stand mitten drin in einem großen Kreise von wissenschaftlichen Freunden.
Albrecht Weber	other	Rudolf von Roth	friend			True	Windisch GSP	Er widmete die 2. Auflage "Böhtlingk und Roth den Freunden bei der Vollendung des Sanskrit-Wörterbuchs".
Albrecht Weber	other	Theodor Goldstücker	colleague in the Sanskrit-Kränzchen; criticized by Goldstücker; opponent in controversy	1848	1850	True	Windisch GSP	Weber bekämpft (S. 43 ff.) Goldstücker Punkt für Punkt, indem er zu Goldstückers Kenntnis des Mahābhāṣya seine Kenntnis des Yajurveda hinzubrachte. In diesem Streit
Albrecht Weber	other	William Dwight Whitney	friend			True	Windisch GSP	Die ersten Beiträge widmete Weber dem Andenken an W. D. Whitney, gestorben 1894 ... Weber stand mitten drin in einem großen Kreise von wissenschaftlichen Freunden.
Alfred Ludwig	other	Berthold Delbrück	Gegner in sprachwissenschaftlicher Kontroverse			True	Windisch GSP	Unter der Überschrift "Abwehr" veröffentlichte er (S. 82 ff.) eine in Kuhns Zeitschrift nicht zum Abdruck gelangte Erwiderung auf Delbrücks Rezension.
André Lefèvre	other	Angelo De Gubernatis	friend			True	Windisch GSP	Er widmete es seinen Freunden Frédéric Baudry und André Lefèvre.
Angelo De Gubernatis	other	Friedrich Max Müller	scholarly correspondent / provider of archival materials			True	Windisch GSP	Aus Briefen des Marco della Tomba machte ihm A. de Gubernatis Mitteilungen
Anton Schiefner	other	Albrecht Weber	Freund			True	Windisch GSP	Von seinem Freunde Schiefner hatte er schon 1851 Abschriften von sechs kleinen Upanischaden aus der Petersburger Bibliothek erhalten.
August Schleicher	other	Georg Curtius	Kollegen in Prag			True	Windisch GSP	In Prag war er mit G. Curtius zusammen
August Wilhelm von Schlegel	other	Friedrich Schlegel	brother			True	Windisch GSP	Friedrich Schlegels Briefe an seinen Bruder August Wilhelm
Bartholomäus Ziegenbalg	other	August Hermann Francke	recommended by			True	Windisch GSP	war dem König von Dänemark von August Hermann Francke in Halle für die Mission in Tranquebar empfohlen worden
Bernhard Hirzel	other	Hermann Brockhaus	friend			True	Windisch GSP	wozu ihm sein Freund Brockhaus Material verschafft hatte
Berthold Delbrück	other	Otto von Böhtlingk	täglicher persönlicher Verkehr			True	Windisch GSP	Mit Böhtlingk stand er in Jena jahrelang in täglichem persönlichen Verkehr.
Bhimacharya Jhalakikar	other	Franz Kielhorn	commissioned by	1874	1874	True	Winternitz GIL 3	das im Auftrage von G. Bühler und F. Kielhorn von dem Pandit M. Bhīmācārya Jhaḷakīkar im Jahre 1874 zusammengestellt wurde.
Bhimacharya Jhalakikar	other	Georg Bühler	commissioned by	1874	1874	True	Winternitz GIL 3	das im Auftrage von G. Bühler und F. Kielhorn von dem Pandit M. Bhīmācārya Jhaḷakīkar im Jahre 1874 zusammengestellt wurde.
Bruno Liebich	other	Heinrich Wenzel	persönliche Bekanntschaft			True	Windisch GSP	Auf Grund persönlicher Bekanntschaft mit ihm hat Liebich den Artikel in der Allg. Deutschen Biographie... geschrieben.
Charles Rieu	other	Otto von Böhtlingk	friend	1847		True	Windisch GSP	Er ging nach Petersburg, wo er mit Böhtlingk befreundet wurde, 1847
Christian Lassen	other	Albrecht Weber	opponent in a controversy; opponent in scholarly controversy over Christian influence on Krishna worship			True	Windisch GSP	Er hielt die bhakti für eine echt indische Form der Religiosität und bekämpfte A. Webers Ansicht, der in den Avatāras des Viṣṇu und in der göttlichen Verehrung Kṛṣṇas christlichen Einfluß erblickte.
Christian Lassen	other	Anthony Troyer	friend			True	Windisch GSP	Die von Troyer, den Lassen II 59 seinen Freund nennt, und Turnour herausgegebenen Geschichtswerke Indiens sind auch von Lassen benutzt worden
Christian Lassen	other	Eugène Burnouf	friend	1825		True	Windisch GSP	Während seines Aufenthalts in Paris im Jahre 1825 [...] schloß er die Freundschaft mit Eugène Burnouf.
Christian Lassen	other	James Tod	personal acquaintance			True	Windisch GSP	Lassen lernte Tod in London persönlich kennen.
Christian Lassen	other	Stanislas Julien	friend			True	Windisch GSP	briefliche Mitteilungen seines Freundes (II 765) Stanislas Julien vermittelt wurden
Colin Mackenzie	other	Alexander Johnston	in contact with			True	Windisch GSP	Colin Mackenzie, Surveyor-General of India, der zu Sir Alexander Johnston in Beziehungen stand.
Daniel Wright	other	William Wright	brother			True	Windisch GSP	Dr. Daniel Wright, lange Zeit englischer Arzt in Nepāl, Bruder des Arabisten William Wright in Cambridge
Debendranath Tagore	other	Dwarkanath Tagore	Sohn			True	Winternitz GIL 3	Dessen Sohn Devendranāth Tagore (1818—1905) schloß sich dem Brāhma-Samāj an
Dwarkanath Tagore	other	Ram Mohan Roy	Freund und Anhänger			True	Winternitz GIL 3	Ein warmer Freund und Anhänger des edlen Rāmmohun Roy und Förderer seines Werkes war Dwārkanāth Tagore.
Edward Upham	other	Alexander Johnston	commissioned by			True	Windisch GSP	Johnston wurde in London mit Edward Upham bekannt... Upham kam im Jahre 1826... im Auftrage Johnstons zu Burnouf nach Paris
Ernst Curtius	other	Georg Curtius	brother			True	Windisch GSP	Ernst Curtius Erinnerungen an seinen Bruder, die für beide Brüder charakteristisch sind.
Ernst Kuhn	other	Adalbert Kuhn	Sohn; son			True	Windisch GSP	An die Stelle von Adalbert Kuhn ist sein Sohn Ernst Kuhn getreten.
Eugène Burnouf	other	George Turnour	correspondent			True	Windisch GSP	einem alten Sutta des Pālikanons, dem Mahāparinibbānasutta, das Burnouf durch eine Mitteilung Turnours kannte.
Eugène Burnouf	other	Jean-Pierre Abel-Rémusat	friend			True	Windisch GSP	Unter den Pariser Orientalisten war Burnouf befreundet mit den Akademikern Abel Rémusat (1788-1832)
Eugène Burnouf	other	Julius Mohl	friend			True	Windisch GSP	Unter den Pariser Orientalisten war Burnouf befreundet mit den Akademikern Abel Rémusat (1788-1832) und Julius Mohl (1800-1876)
Friedrich Heinrich Hugo Windischmann	other	Karl Joseph Hieronymus Windischmann	Sohn; son			True	Windisch GSP	wegen der Übersetzung von Upaniṣadstellen, die ihm sein des Sanskrit kundiger Sohn Friedrich geliefert hat.
Friedrich Max Müller	other	Adalbert Kuhn	friend			True	Windisch GSP	Bei der Deutung der Mythen und der etymologischen Erklärung der mythologischen Namen stimmte er nicht immer mit seinem "gelehrten Freunde Kuhn" (a. a. O. S. 551) überein.
Friedrich Max Müller	other	Horace Hayman Wilson	dedicated work to			True	Windisch GSP	r erwachsene, Wilson gewidmete Werk "A History of Ancient Sanskrit Literature"
Friedrich Rosen	other	Adolf Friedrich Stenzler	friend			True	Windisch GSP	Besonderen Wert legte er auf die Freundschaft mit Stenzler (geb. 1807), mit dem er in London einige Zeit zusammen war.
Friedrich Rosen	other	Heinrich Leberecht Fleischer	friend			True	Windisch GSP	er war mit Fleischer (geb. 1801) befreundet
Friedrich Rosen	other	Peter von Bohlen	friend			True	Windisch GSP	an seinen Freund v. Bohlen
Friedrich von Adelung	other	Johann Christoph Adelung	nephew			True	Windisch GSP	war er der Neffe von Joh. Christoph Adelung
Frédéric Baudry	other	Angelo De Gubernatis	friend			True	Windisch GSP	Er widmete es seinen Freunden Frédéric Baudry und André Lefèvre.
Georg Bühler	other	Friedrich Max Müller	friend			True	Windisch GSP	sein "gelehrter Freund Professor Bühler"
